Timestamp,What year are you in?,Are you a transfer student?,What college are you in?,What major are you?,What gender do you identify with?,"Cambridge Dictionary defines the climate crisis as, ""serious problems that are being caused or likely to be caused by changes in the world's weather, in particular the world getting  warmer as a result of human activity increasing the level of carbon dioxide in the atmosphere.""
To what extent to you believe in climate crisis?",How many classes related to climate education have you taken?,"Have you taken a class that satisfies the Jane Teranes Climate Change Education Requirement (JTCCER)?
List of Courses","If you have taken a JTCCER classes, what class(es) have you taken? ",Where do you mainly get information on the climate crisis?,How often do you organize your waste into trash/recycle/compost?,How do you commute to or around campus? ,How often do you use reusable water bottles?,How often do you use reusable bags when you go shopping?,How often do you attend climate change protests or rallies?,Are/were you in a climate oriented organization?,"If you said yes to being an a climate oriented organization, what organization are/were you a part of? ",Column 1,Column 2,Column 3,Column 4,Column 5
5/15/2025 13:08:39,4th,Yes,Seventh,Computer Engineering,Male,2 - a little bit,I have not taken any class related to climate education yet.,No,,News,Always,Bike/Scooter,Never,Never,Never,No,,,,,,
5/15/2025 13:21:37,4th,Yes,Sixth,Electrical Engineering,Male,3 - mostly believe in climate chage,1,No,,News,Sometimes,Bus,Sometimes,Never,Never,No,,,,,,
5/15/2025 13:41:00,3rd,Yes,Roosevelt,Computer engineering,Female,2 - a little bit,I have not taken any class related to climate education yet.,No,,News,Sometimes,"Bus, Walk",Always,Always,Never,No,,,,,,
5/16/2025 18:00:41,3rd,No,Sixth,Structural Engineering ,Male,4 - yes climate change is a big issue,I have not taken any class related to climate education yet.,No,,School,Sometimes,Walk,Sometimes,Always,Never,No,,,,,,
5/19/2025 13:22:15,4th,No,Warren,Chemical engineering,Female,4 - yes climate change is a big issue,1,No,,Social Media,Sometimes,"Bus, Car, Walk",Sometimes,Sometimes,Never,No,,,,,,
5/20/2025 9:59:46,3rd,No,Seventh,Structural Engineering ,Male,4 - yes climate change is a big issue,1,Yes,Syn 100,News,Sometimes,"Car, Bike/Scooter",Always,Sometimes,Never,No,,,,,,
5/20/2025 10:00:00,3rd,Yes,Seventh,Computer Engineering,Male,3 - mostly believe in climate change,I have not taken any class related to climate education yet.,No,,School,Sometimes,Bike/Scooter,Never,Sometimes,Never,No,,,,,,
5/20/2025 10:24:30,4th,No,Roosevelt,Structural Engineering,Male,1 - not at all,5+,No,,My uncle,Never,Car,Never,Never,Never,No,,,,,,
5/20/2025 10:27:21,3rd,No,Revelle,Structural Engineering,Female,4 - yes climate change is a big issue,1,No,,News,Sometimes,"Bus, Trolley, Walk, Bike/Scooter",Always,Always,Never,No,,,,,,
5/20/2025 10:29:24,3rd,No,Marshall,Structural Engineering,Male,4 - yes climate change is a big issue,I have not taken any class related to climate education yet.,No,,Social Media,Sometimes,Car,Always,Sometimes,Never,No,,,,,,
5/20/2025 10:29:32,4th,No,Seventh,Structural Engineering,Male,4 - yes climate change is a big issue,3,Yes,"USP 2, SYN 1, SYN 2",Social Media,Sometimes,Bus,Always,Sometimes,Never,No,,,,,,
5/20/2025 10:36:12,3rd,Yes,Sixth,Business Econ,Female,2 - a little bit,1,Yes,ANTH 10,News,Always,Walk,Never,Always,Never,No,/,,,,,
5/20/2025 10:40:22,4th,No,Seventh,Structural engineering ,Female,4 - yes climate change is a big issue,3,Yes,Syn 1/2,Social Media,Always,"Bus, Walk",Always,Always,Never,No,,,,,,
5/20/2025 10:42:35,Graduate,Yes,Muir,Clinical Psychology ,Female,4 - yes climate change is a big issue,I have not taken any class related to climate education yet.,No,,News,Always,Car,Always,Always,Never,No,,,,,,
5/20/2025 10:45:36,2nd,No,Marshall,Linguistics,Female,4 - yes climate change is a big issue,1,No,,Social Media,Always,Walk,Always,Always,Never,No,,,,,,
